word	file	lines
addtional	4b-Positron.qmd	37
ahorst	NOTE-git-github.qmd	19
alatleephillips	2-do-i-need-to-use-quarto.qmd	16
alexandraatleephillips	2-do-i-need-to-use-quarto.qmd	16
allison	1-what-is-quarto.qmd	58
allisonhorst	NOTE-git-github.qmd	23
blogdown	2-do-i-need-to-use-quarto.qmd	14
bookdown	2-do-i-need-to-use-quarto.qmd	14
br	index.qmd	21
bren	index.qmd	8,23
Bren	index.qmd	23
Bren	2-do-i-need-to-use-quarto.qmd	16
callout	0-using-this-doc.qmd	18,20,25,30
callout	1-what-is-quarto.qmd	18
callout	2-do-i-need-to-use-quarto.qmd	20
callout	3-setup.qmd	16,149
callout	4b-Positron.qmd	12,40,367
callout	4c-command-line.qmd	90,135,187,201
callout	IMPORTANT-repo-name.qmd	5
callout	IMPORTANT-usethis-root.qmd	5
callout	NOTE-branch-rename-troubleshoot.qmd	5
callout	NOTE-command-palette.qmd	5
callout	NOTE-git-github.qmd	5
callout	NOTE-git-repo.qmd	5
callout	NOTE-jargon.qmd	5
callout	NOTE-master-main.qmd	5
callout	NOTE-new-remote-repo-setup.qmd	5
callout	NOTE-tour.qmd	5
callout	NOTE-usethis.qmd	5
callout	NOTE-workflow.qmd	12
callout	TIP-git-config.qmd	5
callout	TIP-organizing-repos.qmd	5
callout	TIP-quarto-preview.qmd	5
Canouil	2-do-i-need-to-use-quarto.qmd	18
cd	4c-command-line.qmd	21,41,43,47,56,105
Çentinkaya	2-do-i-need-to-use-quarto.qmd	23
cetinkaya	2-do-i-need-to-use-quarto.qmd	23
Çetinkaya	1-what-is-quarto.qmd	58
cli	4b-Positron.qmd	411
cli	4c-command-line.qmd	87,243
CLI	4c-command-line.qmd	14,44
Cmd	4b-Positron.qmd	26,43,52
Cmd	NOTE-command-palette.qmd	8
conf	1-what-is-quarto.qmd	58
config	3-setup.qmd	61,62,69
config	4a-RStudio.qmd	130,134,137
config	4b-Positron.qmd	295,315,319,324
config	4c-command-line.qmd	149,172
config	TIP-git-config.qmd	6,8,12
cosmo	NOTE-tour.qmd	42
cr	1-what-is-quarto.qmd	58
cr	2-do-i-need-to-use-quarto.qmd	23
Csik	index.qmd	4
Ctrl	4b-Positron.qmd	26,43,52,105,124
Ctrl	4c-command-line.qmd	80
Ctrl	NOTE-command-palette.qmd	8
customizable	2-do-i-need-to-use-quarto.qmd	18
customizations	4b-Positron.qmd	41
defaultBranch	4a-RStudio.qmd	134
defaultBranch	4b-Positron.qmd	295,319
defaultBranch	4c-command-line.qmd	149
devex	2-do-i-need-to-use-quarto.qmd	16
dropdown	4a-RStudio.qmd	115
DS	index.qmd	23
edu	index.qmd	8,23
eval	3-setup.qmd	43,50,60,68,83,90,117,132
eval	4a-RStudio.qmd	63,70,86,95,126,133,144
eval	4b-Positron.qmd	108,120,127,150,160,184,194,203,210,241,248,255,294,309,318,350,387,407,417
eval	4c-command-line.qmd	28,50,76,83,95,108,117,148,161,179,195,219,239,249
eval	NOTE-git-github.qmd	14
eval	NOTE-git-repo.qmd	10
eval	NOTE-new-remote-repo-setup.qmd	9
eval	NOTE-tour.qmd	15,27
eval	NOTE-workflow.qmd	18
eval	TIP-git-config.qmd	11
evelopment	3-setup.qmd	25
evelopment	4c-command-line.qmd	15
exe	3-setup.qmd	55
extensibility	4b-Positron.qmd	36
flathead	2-do-i-need-to-use-quarto.qmd	12
fontawesome	1-what-is-quarto.qmd	58
gitcreds	3-setup.qmd	118,126,144
github	index.qmd	5,23
github	0-using-this-doc.qmd	16
github	2-do-i-need-to-use-quarto.qmd	14,18,23
github	3-setup.qmd	33,76,91,147,157,159
github	4a-RStudio.qmd	145,151,155
github	4b-Positron.qmd	14,351,365,388,398,423
github	4c-command-line.qmd	199,220,230,254
github	IMPORTANT-repo-name.qmd	6,7
github	IMPORTANT-usethis-root.qmd	10
github	NOTE-git-github.qmd	9
github	NOTE-git-repo.qmd	7
github	NOTE-new-remote-repo-setup.qmd	11
github	NOTE-tour.qmd	47
github	TIP-git-config.qmd	8
gitignore	4b-Positron.qmd	368,414,419
gitignore	4c-command-line.qmd	202,246,251
gitignore	NOTE-tour.qmd	53
gitignore	NOTE-workflow.qmd	22
gohugo	2-do-i-need-to-use-quarto.qmd	16
happygitwithr	3-setup.qmd	33
happygitwithr	NOTE-git-github.qmd	9
horst	1-what-is-quarto.qmd	58
Horst	1-what-is-quarto.qmd	58
Horst	NOTE-git-github.qmd	23
href	NOTE-tour.qmd	36
https	index.qmd	5,8,23
https	0-using-this-doc.qmd	16
https	1-what-is-quarto.qmd	14,16,58,61
https	2-do-i-need-to-use-quarto.qmd	14,16,18,21,23
https	3-setup.qmd	21,25,33,55,76,147,154,155,156,157,159
https	4a-RStudio.qmd	38,83
https	4b-Positron.qmd	14,20,21,22,36,191,365,388,398
https	4c-command-line.qmd	199,220,230
https	IMPORTANT-repo-name.qmd	7
https	IMPORTANT-usethis-root.qmd	10
https	NOTE-git-github.qmd	7,9,23
https	NOTE-new-remote-repo-setup.qmd	11
https	NOTE-tour.qmd	10,22,47,53
https	NOTE-usethis.qmd	7
https	TIP-git-config.qmd	8
ide	4a-RStudio.qmd	38
IDE's	3-setup.qmd	57,80
init	4a-RStudio.qmd	134
init	4b-Positron.qmd	242,295,319
init	4c-command-line.qmd	105,109,149
init	NOTE-git-repo.qmd	7
intializing	IMPORTANT-usethis-root.qmd	8
io	index.qmd	5,23
io	0-using-this-doc.qmd	16
io	2-do-i-need-to-use-quarto.qmd	14,16,23
io	3-setup.qmd	147,159
io	4b-Positron.qmd	365
io	4c-command-line.qmd	199
io	IMPORTANT-repo-name.qmd	6,7
io	NOTE-git-repo.qmd	7
io	NOTE-tour.qmd	47
io	TIP-git-config.qmd	8
jamstack	2-do-i-need-to-use-quarto.qmd	16
janedoe	3-setup.qmd	62
jekyllrb	2-do-i-need-to-use-quarto.qmd	16
jennybc	IMPORTANT-usethis-root.qmd	10
KiB	4b-Positron.qmd	395
KiB	4c-command-line.qmd	227
knitr	1-what-is-quarto.qmd	37,46,54
knitr	3-setup.qmd	99,109,126,141
knitr	4a-RStudio.qmd	23,32,33,47,57,74,105,152
knitr	4b-Positron.qmd	57,68,69,81,91,112,131,154,164,188,218,340,358,379,411
knitr	4c-command-line.qmd	43,44,68,87,99,211,243
knitr	NOTE-git-github.qmd	19
knitr	NOTE-git-repo.qmd	14
lightbulb	0-using-this-doc.qmd	12
Lightbulb	0-using-this-doc.qmd	12
Lowndes	1-what-is-quarto.qmd	58
MacBook	4c-command-line.qmd	52,56,57,60,118
mainfont	index.qmd	14
mainfont	0-using-this-doc.qmd	5
mainfont	1-what-is-quarto.qmd	5
mainfont	2-do-i-need-to-use-quarto.qmd	5
mainfont	3-setup.qmd	5
mainfont	4a-RStudio.qmd	5
mainfont	4b-Positron.qmd	5
mainfont	4c-command-line.qmd	5
mainfont	NOTE-workflow.qmd	5
mcanouil	2-do-i-need-to-use-quarto.qmd	18
md	4b-Positron.qmd	368,414
md	4c-command-line.qmd	202,246
meds	index.qmd	13,23
meds	0-using-this-doc.qmd	4,16
meds	1-what-is-quarto.qmd	4
meds	2-do-i-need-to-use-quarto.qmd	4
meds	3-setup.qmd	4,147,159
meds	4a-RStudio.qmd	4
meds	4b-Positron.qmd	4
meds	4c-command-line.qmd	4
meds	NOTE-tour.qmd	47
meds	NOTE-workflow.qmd	4
meds	TIP-git-config.qmd	8
MEDS	index.qmd	7,23
MEDS	3-setup.qmd	147,159
MEDS	4b-Positron.qmd	14
MEDS	TIP-git-config.qmd	8
MiB	4b-Positron.qmd	395
MiB	4c-command-line.qmd	227
Mickaël	2-do-i-need-to-use-quarto.qmd	18
mingw	3-setup.qmd	55
mozilla	IMPORTANT-repo-name.qmd	7
mysite	4a-RStudio.qmd	50,57,152
mysite	4b-Positron.qmd	86,236,358,388,389,390,398,401,411
mysite	4c-command-line.qmd	25,29,47,55,56,57,59,60,68,73,102,118,220,221,222,230,233,243
mysite	IMPORTANT-repo-name.qmd	7
mysite	NOTE-git-repo.qmd	7
mysite	NOTE-tour.qmd	33
navbar	NOTE-tour.qmd	24,34
NCEAS	2-do-i-need-to-use-quarto.qmd	16
ncol	4a-RStudio.qmd	30
ncol	4b-Positron.qmd	66
ncol	4c-command-line.qmd	38
ntegrated	3-setup.qmd	25
ntegrated	4c-command-line.qmd	15
Nunito	index.qmd	14
Nunito	0-using-this-doc.qmd	5
Nunito	1-what-is-quarto.qmd	5
Nunito	2-do-i-need-to-use-quarto.qmd	5
Nunito	3-setup.qmd	5
Nunito	4a-RStudio.qmd	5
Nunito	4b-Positron.qmd	5
Nunito	4c-command-line.qmd	5
Nunito	NOTE-workflow.qmd	5
nvironment	3-setup.qmd	25
nvironment	4c-command-line.qmd	15
oauth	3-setup.qmd	76
ObservableJS	1-what-is-quarto.qmd	14
ObservableJS	4c-command-line.qmd	15
openscapes	1-what-is-quarto.qmd	58
orcid	index.qmd	6
pandoc	1-what-is-quarto.qmd	14
Pandoc	1-what-is-quarto.qmd	14
PATs	3-setup.qmd	76,78
PBC's	4b-Positron.qmd	36
permenently	TIP-git-config.qmd	8
png	1-what-is-quarto.qmd	37,46,54
png	3-setup.qmd	99,109,126,141
png	4a-RStudio.qmd	18,23,32,33,47,57,74,105,115,152
png	4b-Positron.qmd	57,68,69,81,91,112,131,154,164,188,218,340,358,379,411
png	4c-command-line.qmd	43,44,68,87,211,243
png	NOTE-git-github.qmd	19
png	NOTE-git-repo.qmd	14
pnh	2-do-i-need-to-use-quarto.qmd	16
pre	3-setup.qmd	29
proj	4b-Positron.qmd	57,204
pwd	4b-Positron.qmd	236
pwd	4c-command-line.qmd	21,41,43,52
px	4a-RStudio.qmd	18,115
quartotip	2-do-i-need-to-use-quarto.qmd	23
README	4b-Positron.qmd	368,414
README	4c-command-line.qmd	202,246
reproducibility	4b-Positron.qmd	225
respository	4a-RStudio.qmd	130,141
respository	4b-Positron.qmd	315,328
respository	4c-command-line.qmd	199
rmarkdown	1-what-is-quarto.qmd	16
RMarkdown	1-what-is-quarto.qmd	16,20
RMarkdown's	1-what-is-quarto.qmd	16
rmd	1-what-is-quarto.qmd	19,20,28,29,30,31,37,40,46
Rproj	4b-Positron.qmd	140,229
Rproj	IMPORTANT-usethis-root.qmd	8
rpubs	2-do-i-need-to-use-quarto.qmd	16
rstats	2-do-i-need-to-use-quarto.qmd	21
rstudio	1-what-is-quarto.qmd	16,58
